Value,Test
21.196,735698
20.866,735699
21.163,735700
21.163,735701
21.274,735702
21.762,735703
21.559,735704
21.514,735705
20.916,735706
20.916,735707
20.916,735708
20.916,735709
20.952,735710
20.29,735711
19.779,735712
19.632,735713
19.353,735714
19.353,735715
19.448,735716
19.925,735717
19.586,735718
19.173,735719
18.796,735720
19.192,735721
19.192,735722
19.192,735723
19.303,735724
19.328,735725
18.754,735726
18.997,735727
19.472,735728
19.472,735729
19.564,735730
19.262,735731
19.592,735732
19.413,735733
19.235,735734
18.745,735735
18.745,735736
18.801,735737
18.827,735738
18.746,735739
19.32,735740
19.3,735741
19.095,735742
19.095,735743
19.095,735744
19.254,735745
18.8,735746
18.621,735747
18.333,735748
18.095,735749
18.095,735750
18.39,735751
18.084,735752
18.238,735753
17.877,735754
17.139,735755
15.989,735756
15.989,735757
16.149,735758
16.177,735759
16.825,735760
17.13,735761
17.553,735762
17.38,735763
17.38,735764
17.627,735765
18.7,735766
17.514,735767
17.382,735768
17.381,735769
17.21,735770
17.21,735771
17.417,735772
17.487,735773
17.387,735774
17.535,735775
17.285,735776
16.99,735777
16.99,735778
17.129,735779
17.043,735780
16.464,735781
16.333,735782
16.226,735783
15.524,735784
15.524,735785
15.614,735786
15.279,735787
15.427,735788
15.476,735789
15.331,735790
15.092,735791
15.092,735792
15.178,735793
15.869,735794
15.85,735795
16.222,735796
16.646,735797
16.774,735798
16.774,735799
16.804,735800
16.408,735801
16.315,735802
16.593,735803
16.926,735804
17.555,735805
17.555,735806
17.653,735807
17.901,735808
18.29,735809
17.746,735810
17.13,735811
17.001,735812
17.001,735813
17.164,735814
16.13,735815
16.36,735816
16.82,735817
16.726,735818
16.018,735819
16.018,735820
16.174,735821
16.628,735822
16.377,735823
16.505,735824
17.165,735825
17.79,735826
17.79,735827
17.952,735828
18.107,735829
18.002,735830
17.59,735831
17.332,735832
17.766,735833
17.766,735834
17.766,735835
17.906,735836
18.706,735837
18.022,735838
18.84,735839
19.141,735840
19.141,735841
19.332,735842
20.752,735843
21.111,735844
19.845,735845
20.531,735846
20.082,735847
20.082,735848
20.199,735849
20.163,735850
19.873,735851
19.661,735852
19.715,735853
19.374,735854
19.374,735855
19.503,735856
20.591,735857
21.401,735858
21.159,735859
21.469,735860
21.149,735861
21.149,735862
21.332,735863
21.372,735864
21.485,735865
21.471,735866
22.045,735867
22.247,735868
22.247,735869
22.308,735870
21.832,735871
22.02,735872
22.299,735873
21.88,735874
20.766,735875
20.766,735876
21.196,735877
20.679,735878
20.625,735879
20.27,735880
20.877,735881
21.215,735882
21.215,735883
21.357,735884
20.77,735885
21.127,735886
20.945,735887
21.165,735888
20.308,735889
20.308,735890
21.202,735891
20.378,735892
21.512,735893
21.961,735894
22.357,735895
21.689,735896
21.689,735897
21.916,735898
21.751,735899
22.156,735900
22.558,735901
21.863,735902
19.361,735903
19.361,735904
20.518,735905
22.108,735906
22.118,735907
21.974,735908
21.81,735909
21.958,735910
21.958,735911
22.075,735912
22.779,735913
22.609,735914
22.717,735915
22.421,735916
21.989,735917
21.989,735918
22.169,735919
22.619,735920
22.721,735921
22.889,735922
23.141,735923
23.021,735924
23.021,735925
23.126,735926
23.984,735927
24.423,735928
24.67,735929
24.283,735930
24.068,735931
24.068,735932
24.37,735933
24.186,735934
23.794,735935
23.661,735936
23.492,735937
23.26,735938
23.26,735939
23.313,735940
23.088,735941
22.893,735942
23.256,735943
22.777,735944
22.638,735945
22.638,735946
22.732,735947
22.501,735948
22.38,735949
22.57,735950
22.495,735951
22.031,735952
22.031,735953
22.152,735954
22.031,735955
21.893,735956
22.358,735957
22.358,735958
22.358,735959
22.358,735960
22.576,735961
21.98,735962
21.141,735963
20.8,735964
20.909,735965
20.152,735966
20.152,735967
20.379,735968
19.974,735969
19.755,735970
19.036,735971
19.286,735972
19.162,735973
19.162,735974
19.358,735975
19.618,735976
19.91,735977
20.53,735978
20.052,735979
19.638,735980
19.638,735981
19.76,735982
19.233,735983
19.035,735984
19.296,735985
19.255,735986
19.275,735987
19.275,735988
19.403,735989
19.472,735990
19.724,735991
20.158,735992
20.791,735993
20.359,735994
20.359,735995
20.472,735996
20.769,735997
20.665,735998
21.012,735999
21.444,736000
21.504,736001
21.504,736002
21.492,736003
21.221,736004
22.849,736005
23.246,736006
23.692,736007
23.905,736008
23.905,736009
24.038,736010
23.251,736011
22.887,736012
23.179,736013
22.492,736014
22.311,736015
22.311,736016
22.331,736017
22.165,736018
22.552,736019
23.161,736020
23.993,736021
23.634,736022
23.634,736023
23.729,736024
22.994,736025
22.538,736026
22.603,736027
22.331,736028
20.962,736029
20.962,736030
20.99,736031
21.722,736032
21.69,736033
22.112,736034
22.336,736035
21.753,736036
21.753,736037
21.734,736038
21.67,736039
21.275,736040
21.407,736041
21.318,736042
20.99,736043
20.99,736044
21.069,736045
21.009,736046
21.36,736047
21.507,736048
21.754,736049
22.062,736050
22.062,736051
22.051,736052
21.979,736053
22.01,736054
22.515,736055
22.715,736056
22.715,736057
22.715,736058
22.715,736059
22.779,736060
22.049,736061
22.335,736062
22.535,736063
22.282,736064
22.282,736065
22.41,736066
22.601,736067
22.447,736068
22.236,736069
22.063,736070
21.625,736071
21.625,736072
21.689,736073
21.45,736074
21.675,736075
21.584,736076
21.454,736077
21.327,736078
21.327,736079
21.51,736080
21.613,736081
21.373,736082
21.437,736083
21.043,736084
20.4,736085
20.4,736086
20.4,736087
20.396,736088
20.425,736089
20.458,736090
20.335,736091
20.442,736092
20.442,736093
20.367,736094
20.691,736095
20.897,736096
20.942,736097
20.51,736098
20.601,736099
20.601,736100
20.639,736101
20.549,736102
20.511,736103
20.573,736104
20.503,736105
20.264,736106
20.264,736107
20.264,736108
20.347,736109
20.59,736110
20.586,736111
20.655,736112
20.461,736113
20.461,736114
20.564,736115
20.48,736116
20.439,736117
20.395,736118
20.186,736119
20.126,736120
20.126,736121
20.228,736122
20.443,736123
20.564,736124
20.695,736125
20.382,736126
20.251,736127
20.251,736128
20.325,736129
20.395,736130
20.469,736131
20.395,736132
20.348,736133
20.557,736134
20.557,736135
20.593,736136
20.669,736137
