38.09,31.93,30.89,36.63,40,60,69.91,80,69.97,53.47,61.03,57.1,53.65,57.1,66.48,69.26,73,70.49,66.89,62.99,57.1,49.65,46.64,51.19
46.97,44.38,42.31,38.91,41.97,46.75,54.04,48.46,57,55.12,56.63,56.63,52,51,53.65,50.08,56.63,53.33,46.75,42.89,26.95,24.24,35.81,29.13
25,27.38,26.25,38.91,31.52,40.56,41.97,46.87,48.24,48.09,48.09,49,46.2,44.34,45.93,46.75,56.67,53.33,53.33,53.33,52.99,39.88,45.01,20.07
30.92,10,10,23.06,45.66,61.95,68,60.77,49.42,44.05,39.11,39.99,32.83,40.11,50,57.07,66.65,69.97,68.26,62,52.99,46.97,46.97,56.61
53.43,49.5,46.83,46.83,51.42,64,69.73,68.72,49.42,39.99,39.98,28,8,28.14,39.98,49.42,72.07,82.04,70.15,54.31,43,47.91,29.32,1.98
21.35,12.25,4.2,19.43,40.25,60.6,65.81,66.06,58,54.34,53.27,49.75,48.8,48.01,51.5,49.35,63.17,59,58.2,56,49.35,49.35,49.35,47.51
46.55,47.51,47.51,48.05,53.49,62.17,71,73.17,71.28,70,64,60.74,59.84,61,60.9,64,68.17,75.01,75,60.03,56,51.02,45.51,42.71
39.64,35.41,35.31,36.43,39.99,57.35,65.54,73,68,63.51,60.52,60.52,53.28,51.21,54.04,59.9,60.52,61,56.65,53.6,47.68,42.56,32.84,42.02
39,28.71,28.61,27.8,38.09,46.55,42.93,47.68,48.23,53.65,48.6,47.94,46.55,47.68,46.55,50,61,65,61.71,61,49.4,47.4,45.85,48
41.01,32.36,31.5,24.15,25,31.32,38.02,43.22,46.25,48.95,46.91,46.35,42.02,38,43.11,46.91,54.4,62.04,53.5,49.37,46.91,43.85,31.45,41.18
36.2,25,21.89,34.87,39.99,56.56,66.71,87.76,75.5,75.5,72.07,57.3,56.35,57.39,70,70.83,76,76,74.9,69,57.38,55.25,49.4,48.06
52.89,52.13,53.58,57.15,60.71,63.02,65.94,71.77,69.01,61.78,59,57.88,55,57.01,59.1,62.14,71.43,74,70.29,65,60.29,55.83,56.41,51
47.16,44.2,40.9,40.78,52.67,60,70,71.17,65.88,62,54.99,51.49,50.68,56.39,55.88,63.53,70,66.7,63.23,57.75,56.2,52.1,45.4,29.1
20.4,18.86,15.13,18.02,25.99,51.02,60,63.68,57.75,48.22,43.45,46.56,43.15,50.36,57.03,57.75,63.45,57.75,55.95,55.95,55.95,52.7,49,54.26
46.91,46.14,42.7,44.94,53.27,65.07,65.01,55.96,57.98,55.96,54.27,53.27,48,52.75,54.26,54.27,58.01,61.75,56.76,59.57,55.91,54.27,53.27,58
56.22,54.1,54.12,54.12,54.1,50,53.1,46.01,32.85,33,27.45,28.22,24.85,45.05,46,53.1,53.1,53.01,51.5,32.03,33,36.89,31.04,46.79
32.02,24,10,10,12.73,22.2,29.99,21,8.25,22.55,23.99,24.68,20.78,21.98,28,29.98,41.7,45.23,45.69,45,34.58,35.95,21.48,-0.01
