date,price
735583.0,924.0
735584.0,911.5
735585.0,920.5
735586.0,926.0
735587.0,937.0
735588.0,
735589.0,
735590.0,937.25
735591.0,935.5
735592.0,
735593.0,
735594.0,945.5
735595.0,
735596.0,
735597.0,935.25
735598.0,934.25
735599.0,
735600.0,917.0
735601.0,904.0
735602.0,
735603.0,
735604.0,903.75
735605.0,904.0
735606.0,905.0
735607.0,898.75
735608.0,890.75
735609.0,
735610.0,
735611.0,896.75
735612.0,890.75
735613.0,902.5
735614.0,897.0
735615.0,905.25
735616.0,
735617.0,
735618.0,896.0
735619.0,905.75
735620.0,906.0
735621.0,908.75
735622.0,908.25
735623.0,
735624.0,
735625.0,900.5
735626.0,904.0
735627.0,910.25
735628.0,910.5
735629.0,900.75
735630.0,
735631.0,
735632.0,888.25
735633.0,894.0
735634.0,888.25
735635.0,896.75
735636.0,908.5
735637.0,
735638.0,
735639.0,910.0
735640.0,911.5
735641.0,912.0
735642.0,909.5
735643.0,909.5
735644.0,
735645.0,
735646.0,912.5
735647.0,920.25
735648.0,926.75
735649.0,924.0
735650.0,916.5
735651.0,
735652.0,
735653.0,918.5
735654.0,909.75
735655.0,910.5
735656.0,902.5
735657.0,905.0
735658.0,
735659.0,
735660.0,924.5
735661.0,904.5
735662.0,897.75
735663.0,890.25
735664.0,898.25
735665.0,
735666.0,
735667.0,892.5
735668.0,892.25
735669.0,880.75
735670.0,876.5
735671.0,887.0
735672.0,
735673.0,
735674.0,878.5
735675.0,879.75
735676.0,877.0
735677.0,877.75
735678.0,889.0
735679.0,
735680.0,
735681.0,884.25
735682.0,890.5
735683.0,883.0
735684.0,889.25
735685.0,893.25
735686.0,
735687.0,
735688.0,884.0
735689.0,882.5
735690.0,861.5
735691.0,868.75
735692.0,879.25
735693.0,
735694.0,
735695.0,872.75
735696.0,879.5
735697.0,893.75
735698.0,893.5
735699.0,896.0
735700.0,
735701.0,
735702.0,901.25
735703.0,909.25
735704.0,916.0
735705.0,911.0
735706.0,
735707.0,
735708.0,
735709.0,
735710.0,911.25
735711.0,906.0
735712.0,912.5
735713.0,905.5
735714.0,
735715.0,
735716.0,902.25
735717.0,909.0
735718.0,892.75
735719.0,889.25
735720.0,898.5
735721.0,
735722.0,
735723.0,
735724.0,889.0
735725.0,891.5
735726.0,891.0
735727.0,893.0
735728.0,
735729.0,
735730.0,894.25
735731.0,897.0
735732.0,905.75
735733.0,904.0
735734.0,906.25
735735.0,
735736.0,
735737.0,903.0
